Season,Episode No.,Episode No. (Overall),Title,Airdate,Rating,Votes,Viewership,Duration,Michael Scott (Steve Carell),About
1,1,1,Pilot,2005-03-24,7.3,9283,11.2,23,True,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace."
1,2,2,Diversity Day,2005-03-16,8.1,9169,6.0,23,True,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own."
1,3,3,Health Care,2005-04-05,7.6,7611,5.8,22,True,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead."
1,4,4,The Alliance,2005-04-12,7.8,7344,5.4,23,True,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors."
1,5,5,Basketball,2005-04-19,8.2,8154,5.0,23,True,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.
1,6,6,Hot Girl,2005-04-26,7.6,7243,4.8,23,True,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.
2,1,7,The Dundies,2005-09-20,8.6,8153,9.0,21,True,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards."
2,2,8,Sexual Harassment,2005-09-27,8.1,7021,7.13,22,True,The office reviews its sexual harassment policy in light of explicit e-mails.
2,3,9,Office Olympics,2005-10-04,8.2,6913,8.3,22,True,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games."
2,4,10,The Fire,2005-10-11,8.1,6794,7.6,22,True,A fire in the kitchen relegates the staff to the parking lot as help is on its way.
2,5,11,Halloween,2005-10-18,7.9,6426,8.0,30,True,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party."
2,6,12,The Fight,2005-11-01,7.9,6427,7.9,22,True,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.
2,7,13,The Client,2005-11-08,8.5,6765,7.5,22,True,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office."
2,8,14,Performance Review,2005-11-15,8.0,6098,8.0,22,True,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan."
